,airline_sentiment,negativereason,airline,text
4713,1,,Southwest, Can my wifes RR points be transferred to my RR account
4714,0,Late Flight,Southwest, my friends from Boston stuck in Denver Her name Jane   Please contact her
4715,0,Lost Luggage,Southwest, I did but no one can find the bag and we need everything in it in the next two hours
4716,0,Bad Flight,Southwest, Wasnt able to sit in my seat since the guy next to me was using it worstflightever ideserveareward 
4717,2,,Southwest, Glad to know Ill be flying the luv airline tomorrow 
4718,0,Lost Luggage,Southwest, yes we did file a report and were treated rather rudely at midway baggage claim Now we wait  days to get our luggage
4719,0,Customer Service Issue,Southwest, I would still have my companion pass if your ridiculous airline hadnt stopped partnering with Hilton Hotels  GENIUS
4720,0,Flight Booking Problems,Southwest, Just got companion pass and trying to add companion flgt but get purchaseerrorINVALIDLOYALTYMEMBERACCOUNTSTATUS Help
4721,0,Customer Service Issue,Southwest, I did Still havent heard a thing
4722,2,,Southwest, thank you for great customer service Trying to make it to San Antonio and your staff and alerts have been helpful Boo ice
4723,2,,Southwest, open seating is like an open marriage theres so much love for strangers
4724,0,Can't Tell,Southwest, I hope this isnt a real life scene out of the movie Flight 
4725,1,,Southwest,  thanksare flights operating now or Cancelled Flightled
4726,1,,Southwest, we checked in right at hr mark Boarding C group with kids ages amp dnt want to be split What sld we do
4727,0,Customer Service Issue,Southwest,  her name is Jane and she wanted was a call 
4728,2,,Southwest,  And this is why I love flying Southwest Excellent service and you dont take yourselves too seriously
4729,2,,Southwest,  whats even better is the price changed in the  minutes since I talked to the lady and they still honored the cheap
4730,1,,Southwest,  Helloare flights taking off from  airport this noon Am supposed to travel on flight  to San antonio
4731,1,,Southwest, We invite to Fallow  learn about our activitiesPrevention Programs of Health by CondomRito FamilyWe R C
4732,1,,Southwest, unveils  new flights including  from Ohio 
4733,1,,Southwest, to start daily B flights from Washington Reagan to FtLauderdale on AUG avgeek
4734,1,,Southwest, to end its daily B flights from Washington Reagan to FtMyers on AUG avgeek
4735,1,,Southwest, to start xdaily B flights from OrangeCounty to Portland OR on AUG avgeek
4736,1,,Southwest, to start daily B flights from Columbus OH to Oakland on AUG avgeek
4737,1,,Southwest, to start xdaily B flights from Columbus OH to Boston  on AUG avgeek
4738,0,Customer Service Issue,Southwest, Password reset email is incredibly slow to arrive today Checked spam folder too Web site says a few minutes but  
4739,1,,Southwest,  Thank you I may have already responded but was UXZJ
4740,0,Customer Service Issue,Southwest, Ive had TERRIBLE service in three airports in  hours Glad they dont care we kind of need to be home SellMyPointsSoon
4741,2,,Southwest, Thanks Confirmation number just DMed Appreciate any help
4742,0,Customer Service Issue,Southwest, on hold for  minno estimated answer time Any help here
4743,0,Bad Flight,Southwest, Im going to start charging you for the consistent body pat downs Starting to feel like a piece of meat punishedforflying
4744,0,Customer Service Issue,Southwest, Whats up with the wait times on your customer service line Tried X on Fri and now Ive been on for over  min
4745,1,,Southwest, Can you equip a  with flamethrowers and a snow plow
4746,1,,Southwest, unveils  new routes including   from Ohio  via 
4747,0,Late Flight,Southwest, flight  no delayed  hours  Another week another delayed flight
4748,1,,Southwest, thanks for linking to Passbook Might be old news but this is my first  flight
4749,1,,Southwest, didnt realize no clothes until at hotel  suggestions
4750,1,,Southwest, may want to direct that to the people at  tok
4751,0,Damaged Luggage,Southwest, bag in possession but no clothes in bag
4752,0,Can't Tell,Southwest, youre really going to let  and  get the best of you 
4753,0,Customer Service Issue,Southwest, Please get back with my about my airtran credit QVNMB I call and Im being told that I will but I never get emailcall back
4754,1,,Southwest, is there a link to a site that displays any delays or Cancelled Flightations of flights to and from 
4755,0,Cancelled Flight,Southwest, pleaseeee resume direct flights from FLL to PHL I dont want to fly with anyone else 
4756,0,Lost Luggage,Southwest, what to do when you show up to your destination with no clothes in your suitcase nakedmeetings awkward
4757,1,,Southwest, Are there discounts every tuesday cause Im leaving fron Birmingham Airport to San fran Next week in march sometime
4758,0,Bad Flight,Southwest, does anyone realize that banning peanuts on a flight due to an allergic person ignores pnut oil amp dust from previous flights
4759,0,Customer Service Issue,Southwest, customer service is rude and bothered by our calls Has no idea what is going on and sighed heavily on the phone Unbelievable
4760,0,Customer Service Issue,Southwest,   hrs Late Flightr no human interaction ended up ing a completely new flight  so last flight out didnt sell out
4761,0,Lost Luggage,Southwest, loses baggage a day ago and still has no idea or interest in finding it ALL items for new job in that bag Unacceptable
4762,1,,Southwest, How do I get a companion pass Thanks  Lin S
4763,2,,Southwest,  Just sent DM Thanks for your attentiveness to this matter
4764,0,Bad Flight,Southwest, how about fixing the wifi  rd flight where its not working  series plane so not like its an old plane
4765,0,Can't Tell,Southwest,  MDWSAN Like most flights if Im watching free TV it works but wont hardly access any websites  including your own
4766,1,,Southwest, kids on a mission trip from Lasalle stranded in orlando area  they cant get back to Bos or PVD till WEDNESDAY
4767,1,,Southwest, Pls Help Baby Hannah get the life saving surgeries she requiresShe needs your helpPls DonateRT 
4768,0,Late Flight,Southwest, almost at the gate for  to SF Please wait  more seconds
4769,0,Flight Attendant Complaints,Southwest, RT  Paid for early bird boarding and got B  I said to lady well that system is about dead She didnt understand
4770,0,Flight Booking Problems,Southwest, All flights are booked  They are saying I have to wait until tomorrow
4771,1,,Southwest, arrangements to reimburse me for the rental I had to get
4772,2,,Southwest, Me on one of your planes Thanks for taking me Arizona  
4773,0,Flight Attendant Complaints,Southwest, Gate agent gave me wrong departure info and caused me to miss my flight and now I am on stand by NotHappy
4774,2,,Southwest,   Thanks
4775,0,Lost Luggage,Southwest, my bag was lost and according to the rep they dont even know where it is Please help
4776,2,,Southwest, have sent you a DM with the details Thanks
4777,2,,Southwest, thank you for the confirmation Maybe people on my flight have directional dislexia
4778,1,,Southwest, got an email confirmation of wifi purchase on a recent flight Trouble is Ive never flown with you Ever concerned scam
4779,0,Flight Attendant Complaints,Southwest,  really  All other carriers are staffed and youve got a triple looped one and no employees in sight in OKC
4780,1,,Southwest, Flight  NWN departs  enroute to  
4781,0,Cancelled Flight,Southwest, thank you for Cancelled Flighting my flight last minute of course to GIS Im now missing one full day of my trip thanks to this
4782,1,,Southwest,   Are flights going into Dallas this morning   Thanks
4783,0,Late Flight,Southwest, you got me home over an hour and a half Late Flight but at least my baggage was delivered soaking wet
4784,1,,Southwest, had to be stuck in the middle seat  
4785,1,,Southwest, DestinationDragons  Scavenger Hunt Vegas BE READY 
4786,2,,Southwest, you know whatd be beyond awesome A pair of tickets to the  show in ATL A girl can dream DestinationDragons
4787,2,,Southwest, yes I was everything worked out great
4788,2,,Southwest, show me some love and a companion flightplease and thank you
4789,0,Cancelled Flight,Southwest, Cancelled Flightled my flight rescheduled to EWK gave me a pseudovoucher that directed me to the worst  in existence fail
4790,2,,Southwest, loved it
4791,0,Lost Luggage,Southwest, needs to train their employees to be at lease somewhat empathetic when THEY lose our luggage  Monika at MWA needs a PR lesson
4792,1,,Southwest, I am in lets do this
4793,0,Customer Service Issue,Southwest, You completely let me down tonight Your gate agents ambivalence is just too much How sad for you amp me
4794,2,,Southwest, youre my early frontrunner for best airline oscars
4795,1,,Southwest,  kudos to your rep Patricia at gate B this Sunday morning at Chicago Midway MDW 
4796,0,Cancelled Flight,Southwest, flight Cancelled Flightled new flight  hours Late Flightr will sleep in airport tonight and cant even give me an A Boarding Group seat thx
4797,1,,Southwest, Just reading your boarding policy were a group of  travellers with kids ranging from  is it possible to sit together
4798,0,Late Flight,Southwest, youre right I do Ive been traveling all day and you guys dropped the ball Making for a long night
4799,0,Customer Service Issue,Southwest,   customer service has been very passive in their response Disappointed I have only flown SW but am rethinking
4800,0,Flight Attendant Complaints,Southwest, broke the stroller my wife and baby gate checked They told her its not their problem Calling the A List Preferred line now
4801,0,Late Flight,Southwest, is this a joke My return flight is delayed too  in a row New record from you guys 
4802,0,Lost Luggage,Southwest, nbd I was able to figure out a workaround Just wanted to help Got my bags less than  hours Late Flightr Muchas grassy ass
4803,0,Lost Luggage,Southwest, luggage delivery between am Really After I was told by midnight multiple times Why lie Crazy and bad business
4804,2,,Southwest, Thx for the follow up Just sent DM
4805,0,Customer Service Issue,Southwest, now I dont get the common courtesy of my phone call answered Either policy is bad or people should be fired dissaponted
4806,2,,Southwest, TY for your consideration
4807,0,Lost Luggage,Southwest, apologies are whatever Please just deliver the bags like you said you would Feel like employees are lying to me
4808,0,Customer Service Issue,Southwest, what robot is running this account The same one that doesnt remember anything they ask Same conversation over and over
4809,0,Lost Luggage,Southwest, It was never really lost it was put on another flight WITH my knowledge we just werent sure what flight but I have it  TY
4810,2,,Southwest, crew of WN SANSFO was brilliant Rita was hilarious I know Ive been down on you before but this was a great flight
4811,0,Can't Tell,Southwest, is not being responding to the  athletes  notcool Southwest
4812,0,Customer Service Issue,Southwest,   A whole family with a special Olympic athlete here and you cant even call them 
4813,0,Lost Luggage,Southwest, would really like my baggage from yesterday Employees at Akron giving me a tough time
4814,2,,Southwest, thanks Very excited to see it D
4815,0,Customer Service Issue,Southwest, glad you appreciate it itll be the last dollar you ever get from me thanks to your wretched customer service
4816,0,Bad Flight,Southwest, waited  mins for baggage MDWgtMEM and the inflight service was suspended so no drink 
4817,1,,Southwest, yeah am flight tomorrow going to add  min extra because of the roads  snow
4818,2,,Southwest, Thanks for helping my mom after  wouldnt let her get on her plane in Orlando Youre the best customerservice
4819,0,Flight Booking Problems,Southwest, me again I was just trying to rebook fare on wanna get away pricing and it disappeared in time I refreshed Is this normal
4820,1,,Southwest, I know that not everybody on flight can be st time flying But in case it is people in front deplane st not from the back
4821,1,,Southwest, may I have my Companion pass please
4822,2,,Southwest, kudos to the crew of flight  to GRR for making a very special memory for a sweet young passenger and her Momma Well done
4823,0,Flight Booking Problems,Southwest, thank you  UXZJPaid for early bird and sat in back
4824,2,,Southwest, All good beers and oscars ar DIA
4825,1,,Southwest, yes please companionpass
4826,0,longlines,Southwest,   minute wait for my bags Just what I needed on a Sunday night
4827,2,,Southwest, luv my companion pass
4828,1,,Southwest, Winter Weather for Denver extended for tomorrow by chance Even to Late Flightr in the day would be super helpful
4829,0,Late Flight,Southwest, its ok I was supposed to be in California hrs ago
4830,0,Customer Service Issue,Southwest, I need to Cancelled Flight one leg of a flight but cant seem to do this online Been on hold on the phone for  minutes Any help
4831,0,Cancelled Flight,Southwest, Alist preferred DENDAL flight Cancelled Flightled  min prior to boarding Best option was Tue afternoon Seriously Epic fail
4832,1,,Southwest, Free TV watching Daytona  Boss 
4833,0,Lost Luggage,Southwest, I understand But its consistent and been consistent for years Its known around the country
4834,2,,Southwest, thank you
4835,0,Lost Luggage,Southwest, been dealing with multiple offices for the last  days Youve completely lost me as a customer unless my bag is back to me
4836,0,Lost Luggage,Southwest, i got the call from RDU that my baggage is there except that doesnt help me bc i cant get it until Im flying back home
4837,1,,Southwest, how do I get a companion pass
4838,1,,Southwest, especially if its your mom IChangedYourDiaper
4839,1,,Southwest,  how you like the redcarpet treatment
4840,0,Customer Service Issue,Southwest, For example cant pay  hotel amp food Or transport to alternate city we are flying from Or give clear record of alt flight
4841,1,,Southwest, Im flying out of CUN tomorrow To DEN  can I change my flight due to the travel advisory
4842,0,Customer Service Issue,Southwest, Tough I can take Zero meaningful assistance while stranded for  days is another matter Looking for signs you care abt cust
4843,0,Can't Tell,Southwest, Dont apologize Do something about it Words mean nothing Actions work EOM
4844,0,Damaged Luggage,Southwest, after an hour and a half then it came back damaged Not happy 
4845,1,,Southwest, how long does it take for my Rapid Rewards points to be credited to my account
4846,0,Customer Service Issue,Southwest, why does the customer service have rather inconsistent information
4847,2,,Southwest, were pulling off the runway now Making new friends with seat mates Thanks for the response CB
4848,0,Customer Service Issue,Southwest, but to make us tru to find space in other flights  This customer service is as bad as 
4849,0,Late Flight,Southwest, no delay I pay  for BS A ticket You boarded flight early Im last to board Now have middle seat Wasted 
4850,0,Cancelled Flight,Southwest, first you had a good idea thatthis would happen and did not Cancelled Flight it earlier then very amateurish that there was no plan
4851,0,Cancelled Flight,Southwest, very disappointed in your handling of tonights Cancelled Flighted Dallas flight  Not that it was Cancelled Flighted but no contingencies
4852,2,,Southwest, its ok Southwest is still the best airline around Just hate when baggage room runs out My now checked bag has headphones
4853,0,Customer Service Issue,Southwest, please start flying to Huntsville so I never have to fly American Airlines again
4854,1,,Southwest, Flight  NSW arrives at  following flight from  
4855,0,Can't Tell,Southwest, no you are not you just care about mighty dollar
4856,1,,Southwest, I have a child traveling cross countryshes  will be turning  in marchand cont 
4857,1,,Southwest,  how do you get one
4858,1,,Southwest, retiring with my hubby and its our th wedding anniversary this year Companion pass please
4859,2,,Southwest, beautiful view flying into San Jose CA this evening 
4860,2,,Southwest, Thank you SWA and Shannon G  C for being a miracle worker awesome
4861,0,Cancelled Flight,Southwest,But expect no help from gt lt  Our flt was canx at the last minute for weather  We flew home on weatherless 
4862,1,,Southwest, want go from New Orleans houston see my dad at md anderson can you help me out
4863,2,,Southwest, yes please
4864,2,,Southwest, I changed my flight through St Louis Thanks for the reply though
4865,1,,Southwest, flying by myself is getting old
4866,0,Customer Service Issue,Southwest, really shouldnt offer sweeps if your link isnt going to work B 
4867,2,,Southwest, Have had a companion pass for a few years and my wife and I use it all the time  Thanks southwest for making travel easy
4868,0,Customer Service Issue,Southwest, Why can we no longer change trips with a companion online Been doing it for years now get message cant be done online
4869,0,Bad Flight,Southwest, WIFI is so slow it totally precludes working on the web Will NOT book SWA for business travel Wish I hadnt lit  on fire
4870,1,,Southwest, yes pleasemy son lives in NJ
4871,1,,Southwest, companion pass please
4872,2,,Southwest, constantly providing wonderful views and service SouthwestLuv 
4873,0,Damaged Luggage,Southwest, everyone deserves red carpet tx until they destroy your luggage amponly give you  voucher like I want to fly wthem again
4874,0,Flight Attendant Complaints,Southwest, staff was overall awful through multiple airports would have switched airlines if another flight was available
4875,2,,Southwest, lol I already am  I am a card member as well too lol i enjoy flying with you Guys
4876,2,,Southwest,   th Anniversary on April th Still Sweethearts  Companions  Lifetime  Sons  Families Love
4877,1,,Southwest, Well we all need something to aim for
4878,2,,Southwest, YES pleaseHow do we get that companion pass
4879,0,Bad Flight,Southwest, on flight  and I paid  for wifi that cant load a website functionally except for your own live streaming Unacceptable
4880,1,,Southwest, gimme
4881,1,,Southwest, flights still going to DAL
4882,0,Can't Tell,Southwest, Youve inspired me to start my own airline to combat your weak ass airline sick of this shit
4883,1,,Southwest, is service to Aruba being permanently discontinued in August
4884,2,,Southwest, yes please
4885,2,,Southwest, I miss mine terribly A  for my th anniversary would be amazing It would mean LUV is in the air dontmakemebeg
4886,2,,Southwest, I heart my CP status Sure would be nice to have though
4887,2,,Southwest, RedCarpet Southwest Companion Pass would be great
4888,1,,Southwest, I would love a great deal from bwi to las Memorial Day weekend aka my bday weekend 
4889,2,,Southwest, I want one
4890,0,Cancelled Flight,Southwest, everyones flights who were Cancelled Flightled today DESERVE 
4891,2,,Southwest, Companion Pass Because everyone deserves RedCarpet treatment and a  even if its your mom 
4892,2,,Southwest, sign me up
4893,1,,Southwest, I would love a  RedCarpet  treatment
4894,1,,Southwest, how do I get my companion pass
4895,1,,Southwest, Tell me the secrets to flying high RedCarpet
4896,2,,Southwest, That would be brighter than all the stars combined on the red carpet tonight
4897,0,Can't Tell,Southwest, How about auto check in for CP holders Come on
4898,2,,Southwest, got mine  Just in time for the wife and my th anniversary
4899,2,,Southwest, I love my Companion Pass qualified th year  HollyMais
4900,1,,Southwest, where is mines
4901,2,,Southwest, I continue to be amazed by the amazing customer service  Thank you SWA
4902,1,,Southwest, and how does one obtain this companion pass
4903,2,,Southwest, Yes please
4904,1,,Southwest,  subscribe please 
4905,2,,Southwest, sign me up
4906,2,,Southwest, just got minenow where to go
4907,0,Can't Tell,Southwest, wifi is the worst  investment I have ever made
4908,1,,Southwest, Can I get any help with Cancelled Flighting my flight reservation
4909,0,Cancelled Flight,Southwest, sitting in Newark because flight  was Cancelled Flightled for no apparent reason  All I was told was sorry after  hrs waiting
4910,1,,Southwest, I have followed you Awaiting your DM
4911,1,,Southwest, U dont have Atlanta to San fransisco in  in the present sale like u had in the last saleIm looking for  return tickets
4912,0,Lost Luggage,Southwest, couldnt be bothered to help with my lost my luggage Not a single helpful employee owner to be found in BWI
4913,0,Late Flight,Southwest, Seriously FOUR DELAYS Only takes  minutes to get to Vegas from  amp I have a connecting flight ridiculous
4914,0,Lost Luggage,Southwest, should get their shit together before they owe my  for my bag
4915,0,Customer Service Issue,Southwest, I requested my boarding pass to be texted to me but I still havent received it
4916,0,Late Flight,Southwest, I gave you one more try Figured you could get a  hr flight right Nope Delayed an hr Seems to be every time
4917,0,Can't Tell,Southwest, Im gonna ignore the fasten seatbelt sign and I want to see if ur man enough to do anything about it
4918,0,Can't Tell,Southwest, Im a huge fan and give yall too much businessso please fix the damn wifi
4919,1,,Southwest, got it  Next time I will know about paying extra to make the A Line
4920,0,Customer Service Issue,Southwest,  we understand air delays which are out of your control terrible telephone support apps and online access that do not work
4921,1,,Southwest, Flying South by Southwest from SJC to SNA tiday 
4922,2,,Southwest, thanks connection thru Nashville have A boarding pass get to Dallas gate boarding  min before flt get end of B group
4923,2,,Southwest, Weather keeps slowing us down Not your fault This is the st time a Southwest flight of mine was Late Flight so I cant complain 
4924,2,,Southwest, Thanks
4925,1,,Southwest, still planing on flights into Dal We are trying to fly in tomorrow from lax
4926,0,Late Flight,Southwest, now I cant board thanks You guys moved me to standby Ive been holding this boarding pass since pm yesterday
4927,2,,Southwest, has a beautiful fleet What a perfect evening to fly 
4928,2,,Southwest, Leave BUR ten minutes Late Flight and arrive in SJC a minute before we were supposed to Impressed gettingbetter 
4929,1,,Southwest, My GF lost the promise ring I gave her on flight   SFOgtSNA Its an infinity silver band ring Please help
4930,0,Late Flight,Southwest, Two delayed flights in a row Neither one of them explained
4931,0,Late Flight,Southwest, been sleeping on the floor like Im homeless and now delayed flights because the equipment isnt working I have a job to get
4932,0,Customer Service Issue,Southwest, you guys should stop doing service in Denver its horrible I get stuck here every time Ive been here almost hrs
4933,2,,Southwest, Thanks  Only a minor delay so not a big deal Appreciate the concern though Boarding now You do have amazing service
4934,1,,Southwest, Traveling with a  year old Thursday He does not need an ID correct
4935,1,,Southwest, Hows Dallas incoming looking Im scheduled to fly in at  and wondering if Ill be stuck in St Louis instead
4936,0,Cancelled Flight,Southwest, Had a very unpleasant experience over the phone with one of your agents re a Cancelled Flightled flight I have the name amp agent ID
4937,0,Bad Flight,Southwest, your wifi is angering me with its slowness
4938,2,,Southwest, thank you
4939,0,Late Flight,Southwest, weve been at the gate a long time Were gonna miss our connection at MDW Ack 
4940,2,,Southwest, I tweeted several times last week about flight info during storm always a timely tweet back  Thx 
4941,0,Late Flight,Southwest, Sort of but Im arriving a day Late Flight and have to incur overnight costs in a connecting city Not cool at all
4942,0,Can't Tell,Southwest, promised  rooms until Wednesday wentook and the hotel charged us  per room because we had a pink paper needed white
4943,0,Customer Service Issue,Southwest, just sent it
4944,0,Can't Tell,Southwest, if you have a rules you should probably apply them all the times not just sometimes shouldhaveflownjetblue
4945,1,,Southwest, your hold music sounds like its from Super Mario Bros for gameboy color
4946,2,,Southwest, props to your LAS employees working C gate Because of them I am not opposed to flying through or to LAS in the future 
4947,0,Bad Flight,Southwest, baggage delivery at BWI very delayed and unnecessarily chaotic Disappointing after a long trip From a frequent traveler
4948,0,Cancelled Flight,Southwest, most other carriers were flying out way past SW Cancelled Flightlation  and  got their passengers out much Late Flightr
4949,0,Bad Flight,Southwest, extremely frustrating travel experience in Denver Instead of landing in SEA on Saturday now its Monday afternoon
4950,0,Customer Service Issue,Southwest, I will be calling someone on Monday in customer relations Very disappointed in how I was treated by customer service
4951,0,Can't Tell,Southwest, your complimentary hotel vouchers are BS  a night for the crappiest hotel ever I wouldnt wish this on my worst enemy
4952,0,Can't Tell,Southwest, worst air line ever you have no compassion of the handicapped
4953,1,,Southwest, when are the two free flights promo coming back Looking into the premiere card but might hold off or go with another option
4954,0,Cancelled Flight,Southwest, you are a bunch of liars Cancelled Flightled our flight and rebooked us four days Late Flightr
4955,1,,Southwest, done
4956,1,,Southwest, currently rebooked thru Dallas but I hear they are expecting an ice storm sigh strandedNYC
4957,1,,Southwest, check out our st graders school science fair project She loves flying on Southwest Airlines 
4958,2,,Southwest, ohk Thank You BC of the inexpensive airfares that Southwest has I can now travel around
4959,0,Damaged Luggage,Southwest, my golf bag was broken on the flight I just took Whats the process for damage reimbursement
4960,0,Flight Booking Problems,Southwest, ridiculous how you want to charge me  to change flights even with multiple seats available on the flight I needed
4961,2,,Southwest,  Mad love  NYC
4962,0,Cancelled Flight,Southwest,  thanks for Cancelled Flighting our flight to BOS Were stranded in DEN til Wed night The  of us will never fly southwest again
4963,0,Customer Service Issue,Southwest, I was trying to find airfare for my family  Your prices are ridiculous  Almost  more than  notmadeofmoney
4964,2,,Southwest, My Fav
4965,0,Late Flight,Southwest, our flight is delayed till tomorrow curse the weather
4966,0,Flight Attendant Complaints,Southwest, now Im so lucky for my forced good deed I get to be smashed between  huge ppl in the exit row Thank God Im tiny 
4967,1,,Southwest,  Wish you allowed  to access you site for awards tracking
4968,2,,Southwest,  just got it back about  mins ago Went about  hrs wo it but I appreciate the support  voucher   for essentials
4969,1,,Southwest,  party in hotlanta 
4970,0,Bad Flight,Southwest, BTW I was completely unable to buy wifi for my flight using Galaxy S Couldnt zoom out or scroll to touch Buy
4971,1,,Southwest, is having a party in the atl terminal letitgo 
4972,1,,Southwest,  I heard a rumor flight  was Cancelled Flightled  Is this true
4973,2,,Southwest, is hosting an  party in the terminal in Atlanta peanutsonaplatter
4974,2,,Southwest, Just watched crew on flight  help elderly lady off planefirstclass
4975,0,Lost Luggage,Southwest, it was not  still dont know where skis are and cannot get a call back from bag svc at airport left several msgs
4976,0,Cancelled Flight,Southwest, wifes flight to DAL just got Cancelled Flightled What does she do to find options to get back home   PHXgtDAL
4977,0,Can't Tell,Southwest, thanks for the response  flight time has passed  rebooked now
4978,0,Bad Flight,Southwest,lt lt RT   Sorry to hear about the WiFi connection Dani Please DM us your conf  so we can help you Thanks
4979,2,,Southwest, you guys rule I will DM you lt Thank you
4980,2,,Southwest, good to be back See you all again in several weeks
4981,0,Bad Flight,Southwest, Boooo   Dont be like the other airlines  
4982,2,,Southwest, stewardess really funny Now I could get the gent next to me to use some headphones this would be the perfect flight
4983,0,Can't Tell,Southwest, FIND A WAY TO Cancelled Flight FLIGHT 
4984,1,,Southwest, how can I check to see if my flight to NYC is expected to be delayed or Cancelled Flightled for this Tuesday
4985,0,Cancelled Flight,Southwest, thx for the note Flight was Cancelled Flightled and today is all booked so had to go with another carrier 
4986,0,Customer Service Issue,Southwest, could I get a phone call from a customer service rep to get the issue resolved
4987,2,,Southwest, think you have great people working for you
4988,2,,Southwest, Way to go flying out of Denver today Must be the only airline not Cancelled Flightingdelaying flights FlySWA denverairport
4989,0,Bad Flight,Southwest, heres a firstboth pilot and first officer in galley during flight
4990,1,,Southwest,  any updates on flights getting Cancelled Flighted into DAL I have a connecting flight there and hope it doesnt delay due to weather
4991,0,Cancelled Flight,Southwest, Flight  got Cancelled Flightled  hrs before takeoff No Customer Service Been on hold for  minutes
4992,1,,Southwest, my flight continues through to Vegas after my stop Dont be upset if a stowaway
4993,0,Customer Service Issue,Southwest, waiting over a half hour for my checked baggage to be delivered No updates from any ground crew
4994,0,Can't Tell,Southwest,    Promotion email today Vegas and Jamaica has a defective link for the Vegas sweepstakesit times out with error
4995,1,,Southwest, safety back in Dallas
4996,0,Customer Service Issue,Southwest, No like I said I could not reach anyone at your company so I had to rent a car and chalk the whole thing up to a loss
4997,2,,Southwest, you guys are so amazing for sending people to meet Imagine Dragons DestinationDragons 
4998,1,,Southwest, BTW not a weather delay Weve had beautiful weather in Sunny California nolove noexcuses cali 
4999,0,Cancelled Flight,Southwest, As a frequent traveler Ive never been treated so coldly amp had an airline offer nothing when my flight was Cancelled Flightled nolove
5000,0,Damaged Luggage,Southwest,  neveryamind I paid  for a flight  for a new bag is easy for business class customers right 
5001,0,Damaged Luggage,Southwest,  our baggage motto we dont cover that Small tear ripped seam snow soaked busted zippers  SORRY 
5002,0,Cancelled Flight,Southwest, Totally ruined my birthday weekend by Cancelled Flighting my flights for no reason and offer no points drink transport nolove cali
5003,0,Customer Service Issue,Southwest, Whats happened to your customer service  Cancelled Flightled flights in  days amp an uninformed and unapologetic staff nolove cali
5004,1,,Southwest, check the head of the plane there has been dynamite placed onto it
5005,0,Cancelled Flight,Southwest, Maybe if you comped those that quietly accepted delays or Cancelled Flightations instead of the irate youd have less issues justsaying
5006,1,,Southwest, For the past  yrs I earned Alist status thru a promofly  rnd trips in  months How can I get that option again loyal
5007,0,Damaged Luggage,Southwest, we didnt nothing was ruined just wet Just frustrating when after traveling for  hours you cant change into clean clothes
5008,1,,Southwest, yeah it happens The PHX airport has extra long waits all spring long Something locals know but tourist dont just FYI
5009,0,Customer Service Issue,Southwest, I tried for hrs to contact SW Twitter fb phone email w no reply hrs Late Flightr u respond what could you do at this point
5010,1,,Southwest, Arkansas Gov plans to sign Governor SB that legalizes discrimination of LGBTCan you lend your voice to a state boycott
5011,1,,Southwest, if I am a rapid awards member does my points apply after I have taken my round trip
5012,2,,Southwest, was in a line a mile long at sky harbor this morning Your staff was courteous and expeditious  Thank you onechildfourbags
5013,0,Customer Service Issue,Southwest, I have never had such awful customer service and conflicting service Outrageous
5014,2,,Southwest, Just realized I had the wrong departure date Thanks for making changes easy
5015,1,,Southwest, Also will Southwest have any other specials like the one they are running now
5016,2,,Southwest, last week I flew from DAL to LAX You got us in almost an hour early Thank You
5017,1,,Southwest, will the Daytona  be available on free TV
5018,1,,Southwest, flying flight  tonight at  from PBI I have boarding position C Is it overbooked Really dont want to be bumped
5019,0,Customer Service Issue,Southwest, no I wasnt After over an hour was too frustrated and had to hang up
5020,0,Cancelled Flight,Southwest, Thanks for the terrible service Stranded in MDW for  days amp now cant find confirmation for rebooked flight from MKE
5021,0,Customer Service Issue,Southwest, fyi the link in your baggage incident email redirects to a  on mobile The link auto changes on mobile Desktop works fine
5022,2,,Southwest, I will say that your customer service has consistently been the very best
5023,2,,Southwest,  tfw Appreciate the tweet back  It was unexpected
5024,1,,Southwest, need to Cancelled Flight a few more can you please check DM
5025,0,Late Flight,Southwest,   yo mom says Hire more staff to accommodate your audience You could learn lots from her Shes off to FL
5026,2,,Southwest, Although the wait was long due to weather rscheduling a phone call and super rep solved the issue Thank you
5027,1,,Southwest, when are you starting routes to Hawaii and Canada
5028,1,,Southwest, flying flight  tonight at  from PBI I have boarding position C Is flight overbooked Have funeral to attend
5029,0,Customer Service Issue,Southwest, I was never able to talk so someone so had to buy another new ticket Will be calling shortly for refund
5030,0,Customer Service Issue,Southwest, tfw   TYSpent total of  hrs and  mins holding Cell battery died Finally made arrangements w kind Rep
5031,2,,Southwest,  yall are better then 
5032,0,Customer Service Issue,Southwest, no after  mins of hold I finally hung up Ridiculous wait times Can you assist in Cancelled Flighting reservation
5033,2,,Southwest, Make the world a better place Visit an elderly relative
5034,1,,Southwest, What is the best credit card to useopen to get miles with yall
5035,0,Customer Service Issue,Southwest, some woman gets on plane and holds  seats in the bulkhead for her friends with C boarding passes I paid  earlybird thx
5036,0,Bad Flight,Southwest, grouchy about this flight  complimentarybeveragesneeded
5037,0,Bad Flight,Southwest, plane switch on  meant A back of plane disappointed
5038,0,Can't Tell,Southwest, you have let me down oversold earlybirdmeansnothing
5039,0,Cancelled Flight,Southwest, while you clearly didnt care about our troubles yday thought Id share bags took gtmin and came back absolutely drenched
5040,1,,Southwest, can you follow for quick DM
5041,1,,Southwest, can you help
5042,0,Customer Service Issue,Southwest, looks like you are up and running for the day Still cant get through on the phone Can you follow so I can dm you my info
5043,0,Customer Service Issue,Southwest, CustomerServiceFail   almost missed flight  long slow BWI ticket line Rather make a complaint or your flight
